Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1407967352,7.19531772575,3.76287625418,NaN,NaN,NaN,0,0,0
1407967353,NaN,NaN,NaN,0,163.703703704,0,0,0
1407967649,NaN,NaN,NaN,0,154.285714286,0,0,0
1407967651,5.45217391304,7.09665551839,NaN,NaN,NaN,0,0,0
1407967950,NaN,NaN,NaN,0,210.714285714,0,0,0
1407967951,6.7096345515,8.94418604651,NaN,NaN,NaN,0,0,0
1407968251,5.297,7.794,NaN,NaN,NaN,0,0,0
1407968252,NaN,NaN,NaN,0,253.928571429,0,0,0
1407968551,4.13733333333,6.049,NaN,NaN,NaN,0,0,0
1407968554,NaN,NaN,NaN,0,255.357142857,0,0,0
1407968851,5.179,6.26,NaN,NaN,NaN,0,0,0
1407968855,NaN,NaN,NaN,0,255,0,0,0
1407969151,6.37633333333,7.236,NaN,0,257.777777778,0,0,0
1407969448,NaN,NaN,NaN,0,243.214285714,0,0,0
1407969452,5.58471760797,6.36445182724,NaN,NaN,NaN,0,0,0
1407969750,NaN,NaN,NaN,0,167.5,0,0,0
1407969752,4.66153846154,6.59096989967,NaN,NaN,NaN,0,0,0
1407970051,5.61766666667,5.85066666667,NaN,NaN,NaN,0,0,0
1407970052,NaN,NaN,NaN,0,159.642857143,0,0,0
1407970351,4.98633333333,5.99266666667,NaN,NaN,NaN,0,0,0
1407970353,NaN,NaN,NaN,0,157.857142857,0,0,0
1407970651,5.151,5.62333333333,NaN,NaN,NaN,0,0,0
1407970654,NaN,NaN,NaN,0,159.642857143,0,0,0
1407970952,7.2365448505,5.98372093023,NaN,NaN,NaN,0,0,0
1407970956,NaN,NaN,NaN,0,156.428571429,0,0,0
1407971252,4.36066666667,6.42766666667,NaN,NaN,NaN,0,0,0
1407971253,NaN,NaN,NaN,0,153.703703704,0,0,0
1407971549,NaN,NaN,NaN,0,180,0,0,0
1407971552,9.21566666667,10.8563333333,NaN,NaN,NaN,0,0,0
1407971851,4.87391304348,6.68929765886,NaN,0,155.357142857,0,0,0
1407972151,4.89169435216,5.70398671096,NaN,NaN,NaN,0,0,0
1407972152,NaN,NaN,NaN,0,154.285714286,0,0,0
1407972451,4.83233333333,6.24633333333,NaN,NaN,NaN,0,0,0
1407972454,NaN,NaN,NaN,0,157.5,0,0,0
1407972751,5.652,6.26966666667,NaN,NaN,NaN,0,0,0
1407972756,NaN,NaN,NaN,0,153.571428571,0,0,0
1407973051,5.13433333333,6.13966666667,NaN,NaN,NaN,0,0,0
1407973053,NaN,NaN,NaN,0,159.259259259,0,0,0
1407973349,NaN,NaN,NaN,0,157.142857143,0,0,0
1407973351,4.86666666667,6.894,NaN,NaN,NaN,0,0,0
1407973650,NaN,NaN,NaN,0,221.428571429,0,0,0
1407973651,7.48628762542,9.87224080268,NaN,NaN,NaN,0,0,0
1407973951,4.87840531561,5.53953488372,NaN,NaN,NaN,0,0,0
1407973952,NaN,NaN,NaN,0,260,0,0,0
1407974251,5.47866666667,5.982,NaN,NaN,NaN,0,0,0
1407974254,NaN,NaN,NaN,0,257.142857143,0,0,0
1407974551,6.60633333333,5.446,NaN,NaN,NaN,0,0,0
1407974555,NaN,NaN,NaN,0,234.642857143,0,0,0
1407974851,4.68733333333,6.70533333333,NaN,NaN,NaN,0,0,0
1407974852,NaN,NaN,NaN,0,187.777777778,0,0,0
1407975148,NaN,NaN,NaN,0,185.714285714,0,0,0
1407975151,4.60833333333,6.591,NaN,NaN,NaN,0,0,0
1407975450,NaN,NaN,NaN,0,105.714285714,0,0,0
1407975451,5.42766666667,5.47333333333,NaN,NaN,NaN,0,0,0
1407975751,NaN,NaN,NaN,0,96.4285714286,0,0,0
1407975752,4.94784053156,5.86445182724,NaN,NaN,NaN,0,0,0
1407976052,4.65518394649,6.43110367893,NaN,NaN,NaN,0,0,0
1407976053,NaN,NaN,NaN,0,97.8571428571,0,0,0
1407976351,6.05,6.84533333333,NaN,NaN,NaN,0,0,0
1407976355,NaN,NaN,NaN,0,95.3571428571,0,0,0
1407976652,4.72624584718,6.6096345515,NaN,NaN,NaN,0,0,0
1407976656,NaN,NaN,NaN,0,95.7142857143,0,0,0
1407976951,4.53545150502,5.81471571906,NaN,NaN,NaN,0,0,0
1407976953,NaN,NaN,NaN,0,98.8888888889,0,0,0
1407977250,NaN,NaN,NaN,0,95.7142857143,0,0,0
1407977251,4.58438538206,5.86910299003,NaN,NaN,NaN,0,0,0
1407977551,4.468,6.20033333333,NaN,0,96.7857142857,0,0,0
1407977851,4.40933333333,5.786,NaN,NaN,NaN,0,0,0
1407977853,NaN,NaN,NaN,0,97.8571428571,0,0,0
1407978151,4.723,4.548,NaN,NaN,NaN,0,0,0
1407978154,NaN,NaN,NaN,0,95.7142857143,0,0,0
1407978452,4.53920265781,5.35182724252,NaN,NaN,NaN,0,0,0
1407978456,NaN,NaN,NaN,0,94.6428571429,0,0,0
1407978752,4.71204013378,6.7508361204,NaN,NaN,NaN,0,0,0
1407978753,NaN,NaN,NaN,0,94.8148148148,0,0,0
1407979049,NaN,NaN,NaN,0,98.5714285714,0,0,0
1407979051,5.31066666667,5.644,NaN,NaN,NaN,0,0,0
1407979350,NaN,NaN,NaN,0,157.5,0,0,0
1407979351,6.07733333333,6.85666666667,NaN,NaN,NaN,0,0,0
1407979652,3.78504983389,6.12458471761,NaN,0,195.357142857,0,0,0
1407979952,4.27123745819,5.45652173913,NaN,NaN,NaN,0,0,0
1407979953,NaN,NaN,NaN,0,192.857142857,0,0,0
1407980251,5.26733333333,6.36766666667,NaN,NaN,NaN,0,0,0
1407980255,NaN,NaN,NaN,0,187.142857143,0,0,0
1407980551,4.81466666667,5.74233333333,NaN,0,187.407407407,0,0,0
1407980848,NaN,NaN,NaN,0,182.142857143,0,0,0
1407980851,4.339,5.05533333333,NaN,NaN,NaN,0,0,0
1407981149,NaN,NaN,NaN,0,103.214285714,0,0,0
1407981151,5.11733333333,4.86833333333,NaN,NaN,NaN,0,0,0
1407981451,NaN,NaN,NaN,0,95.3571428571,0,0,0
1407981452,4.34916943522,5.57707641196,NaN,NaN,NaN,0,0,0
1407981752,4.24233333333,5.91066666667,NaN,0,94.6428571429,0,0,0
1407982052,5.56588628763,5.79063545151,NaN,NaN,NaN,0,0,0
1407982054,NaN,NaN,NaN,0,105,0,0,0
1407982351,4.03521594684,5.77740863787,NaN,NaN,NaN,0,0,0
1407982355,NaN,NaN,NaN,0,101.785714286,0,0,0
1407982651,4.89498327759,6.50836120401,NaN,NaN,NaN,0,0,0
1407982652,NaN,NaN,NaN,0,104.814814815,0,0,0
1407982948,NaN,NaN,NaN,0,102.142857143,0,0,0
1407982951,4.35215946844,5.19734219269,NaN,NaN,NaN,0,0,0
1407983250,NaN,NaN,NaN,0,100.357142857,0,0,0
1407983251,3.50566666667,5.08166666667,NaN,NaN,NaN,0,0,0
1407983551,5.07591973244,5.87324414716,NaN,NaN,NaN,0,0,0
1407983552,NaN,NaN,NaN,0,100.714285714,0,0,0
1407983851,3.96843853821,5.00664451827,NaN,NaN,NaN,0,0,0
1407983853,NaN,NaN,NaN,0,104.642857143,0,0,0
1407984151,3.55833333333,5.585,NaN,NaN,NaN,0,0,0
1407984155,NaN,NaN,NaN,0,98.9285714286,0,0,0
1407984451,4.61366666667,4.42666666667,NaN,0,102.592592593,0,0,0
1407984748,NaN,NaN,NaN,0,101.428571429,0,0,0
1407984752,4.85415282392,6.50431893688,NaN,NaN,NaN,0,0,0
1407985049,NaN,NaN,NaN,0,147.142857143,0,0,0
1407985052,5.34849498328,7.98060200669,NaN,NaN,NaN,0,0,0
1407985350,NaN,NaN,NaN,0,198.571428571,0,0,0
1407985351,4.487,5.71866666667,NaN,NaN,NaN,0,0,0
1407985651,4.998,5.584,NaN,NaN,NaN,0,0,0
1407985652,NaN,NaN,NaN,0,196.071428571,0,0,0
1407985952,5.32956810631,5.37541528239,NaN,NaN,NaN,0,0,0
1407985954,NaN,NaN,NaN,0,193.571428571,0,0,0
1407986252,4.34247491639,6.38494983278,NaN,NaN,NaN,0,0,0
1407986255,NaN,NaN,NaN,0,188.571428571,0,0,0
1407986551,5.432,4.75633333333,NaN,0,187.777777778,0,0,0
1407986848,NaN,NaN,NaN,0,106.071428571,0,0,0
1407986851,6.19833333333,7.09133333333,NaN,NaN,NaN,0,0,0
1407987150,NaN,NaN,NaN,0,99.6428571429,0,0,0
1407987152,4.67906976744,6.57973421927,NaN,NaN,NaN,0,0,0
1407987451,4.64266666667,5.14833333333,NaN,NaN,NaN,0,0,0
1407987452,NaN,NaN,NaN,0,96.7857142857,0,0,0
1407987751,4.47766666667,5.832,NaN,NaN,NaN,0,0,0
1407987754,NaN,NaN,NaN,0,100,0,0,0
1407988051,6.38633333333,6.86966666667,NaN,NaN,NaN,0,0,0
1407988056,NaN,NaN,NaN,0,98.2142857143,0,0,0
1407988351,5.01933333333,6.50966666667,NaN,NaN,NaN,0,0,0
1407988352,NaN,NaN,NaN,0,98.1481481481,0,0,0
1407988649,NaN,NaN,NaN,0,97.5,0,0,0
1407988651,5.05966666667,5.553,NaN,NaN,NaN,0,0,0
1407988809,NaN,NaN,0,NaN,NaN,0,0,0
1407988951,6.43566666667,7.68766666667,NaN,0,94.6428571429,0,0,0
1407989251,5.50866666667,6.408,NaN,NaN,NaN,0,0,0
1407989252,NaN,NaN,NaN,0,100.714285714,0,0,0
1407989551,4.236,5.128,NaN,NaN,NaN,0,0,0
1407989555,NaN,NaN,NaN,0,103.214285714,0,0,0
1407989710,NaN,NaN,0,NaN,NaN,0,0,0
1407989851,4.27,6.739,NaN,0,96.6666666667,0,0,0
1407990025,NaN,NaN,0,NaN,NaN,0,0,0
1407990148,NaN,NaN,NaN,0,99.6428571429,0,0,0
1407990151,4.88966666667,6.24233333333,NaN,NaN,NaN,0,0,0
1407990307,NaN,NaN,0,NaN,NaN,0,0,0
1407990450,NaN,NaN,NaN,0,98.5714285714,0,0,0
1407990452,4.84850498339,5.32026578073,NaN,NaN,NaN,0,0,0
1407990607,NaN,NaN,0,NaN,NaN,0,0,0
1407990751,NaN,NaN,NaN,0,126.428571429,0,0,0
1407990752,5.40766666667,7.82233333333,NaN,NaN,NaN,0,0,0
1407990913,NaN,NaN,0,NaN,NaN,0,0,0
1407991052,5.61733333333,6.38366666667,NaN,NaN,NaN,0,0,0
1407991053,NaN,NaN,NaN,0,200.357142857,0,0,0
1407991352,4.65719063545,5.58294314381,NaN,NaN,NaN,0,0,0
1407991355,NaN,NaN,NaN,0,193.571428571,0,0,0
1407991520,NaN,NaN,0,NaN,NaN,0,0,0
